scenario_idx,mem_len,N,threshold,real_ber,pred_ber,real_region,pred_region,abs_error,abs_log10_error,region_error,signed_error,signed_log10_error,sir,isi_spread,overlap,effective_snr,isi_cv,dominant_isi_ratio,gap,mu0,mu1,std0,std1
0,8,1916,0.0,0.4999952183192022,0.00011991813,13,12,0.4998753001913087,3.620081010989393,1,-0.4998753001913087,-3.620081010989393,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,1.8746477786995877,0.4960623341290794,0.4949382,13,13,0.0011241393773399055,0.0009852911764225425,0,-0.0011241393773399055,-0.0009852911764225425,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,3.7492955573991753,0.49594290682515907,0.49387646,13,13,0.0020664496108036,0.001813355808645556,0,-0.0020664496108036,-0.001813355808645556,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,5.623943336098763,0.49555733159719473,0.4925916,13,13,0.002965741907939967,0.0026069043365549716,0,-0.002965741907939967,-0.0026069043365549716,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,7.498591114798351,0.4946508948873567,0.4911904,13,13,0.003460491187481818,0.003048921894517498,0,-0.003460491187481818,-0.003048921894517498,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,9.373238893497938,0.4930670074582887,0.4896372,13,13,0.003429811394293325,0.003031532972279982,0,-0.003429811394293325,-0.003031532972279982,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,11.247886672197525,0.49093388091648466,0.48793137,13,13,0.003002510181316198,0.002664251265049322,0,-0.003002510181316198,-0.002664251265049322,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,13.122534450897113,0.4885809133937987,0.48610917,13,13,0.002471746056381119,0.0022026849897331946,0,-0.002471746056381119,-0.0022026849897331946,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,14.997182229596701,0.48625515298473987,0.4841956,13,13,0.002059562965513795,0.0018433824932831966,0,-0.002059562965513795,-0.0018433824932831966,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,16.87183000829629,0.48397733737553306,0.48218036,13,13,0.0017969803961629394,0.0016155172779002136,0,-0.0017969803961629394,-0.0016155172779002136,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
0,8,1916,18.746477786995875,0.4816222853090234,0.4800185,13,13,0.001603788795656702,0.0014486109222513477,0,-0.001603788795656702,-0.0014486109222513477,0.7400653191031287,0.0643861656990943,2.5091330129725322e-09,71.06371272320663,0.8087565742677888,0.396342949281913,158.66358375880273,107.1956621012076,265.85924586001033,10.215739794306401,15.807783623556192
