scenario_idx,effective_snr,overlap,sir,isi_spread,mem_len,mae_raw,mae_log10,p95_raw,bias_raw,region_acc
0,71.06371272320663,2.5091330129725322e-09,0.7400653191031287,0.0643861656990943,8,0.006384171401643632,0.027358987818632254,0.008398105148085871,-0.00012325639506583074,0.95
1,144.67602920480329,1.8132069740891695e-17,0.22957499453686905,0.0530794942163553,14,0.014985969174416863,0.021303715263654478,0.06870447385633442,-0.009440842186533637,0.735
2,303.90546914610184,6.488677783373887e-35,0.4471222257409348,0.033858089302774945,11,0.004976132218000918,0.007415582949780686,0.012695227017558411,0.0010063252031099466,0.915
3,1254.4853228225084,1.9884711113814773e-138,0.47538542183962185,0.0165130606148617,10,0.005588191731317954,0.008206899003330034,0.018213474983310808,0.003485245619468679,0.93
4,11872.915408334075,0.0,1.0428765387236303,0.0046290258540937,6,0.005832049851557683,0.025122339268027077,0.013567656213671085,0.002615483185110683,0.92
5,503.7374320703886,1.0163626059814693e-56,0.21078533408858793,0.028652910107784223,14,0.014658137472773525,0.019051233450455705,0.054883144860628286,-0.006152673704189212,0.71
6,117.95307557860284,1.5956325997439305e-14,0.20466205419473385,0.059362081904456125,14,0.017308629914992716,0.023613902533292288,0.0753744866029841,-0.011541705791330443,0.72
7,2040.6953414987668,6.783594230950786e-224,0.5060203043908835,0.012832207721266326,10,0.0062024167476272376,0.00981395139674877,0.017784733368357505,0.0041753071570994225,0.93
8,2224.8554056967414,6.57367460883986e-244,0.27343935773607736,0.01330566640184753,14,0.009595027096803838,0.012339096455883198,0.03214486436818581,0.00012142476979202927,0.78
9,72.5809554354426,1.6999240848569025e-09,0.5786225570871,0.06663252996851154,9,0.0062194246439516996,0.020709975686282828,0.012443040346147308,1.9720926349511558e-05,0.945
10,7291.349784402909,0.0,1.1477805867453408,0.005766526344493749,6,0.005812675283874055,0.02688323899490233,0.013427687308938124,0.0012561098929590394,0.935
11,22.360597547128336,0.0008267045902880478,0.2935730081405762,0.13179580391827495,14,0.014270395542883934,0.024587131465732708,0.04558888139995719,-0.009303864911087551,0.76
12,2491.309065397189,7.302109650011176e-273,0.6738425221847016,0.011060637525877572,8,0.004547271122615746,0.010183508208910284,0.0108618920808499,0.003398188087389316,0.94
13,74.91851356282379,9.334263073844618e-10,0.1762967749651787,0.07535519666557544,14,0.021135724227978533,0.027539476334159128,0.08397329230660788,-0.015041077427064436,0.695
14,22.42327268131446,0.0008128601180509058,0.43778104703964676,0.12507342848882805,11,0.009140355077675412,0.02768122998073723,0.01855425167992659,-0.003010000089628394,0.905
15,6684.145637584785,0.0,0.6994594404610753,0.006699738228441901,8,0.005168457191196867,0.01167675562346883,0.014428086693235424,0.0035599600111198247,0.935
16,17.3891436056596,0.0031915908556900442,0.38330663770488954,0.14476162064015613,12,0.01088720042115155,0.02959244357417297,0.027416556134356524,-0.005215475904175929,0.815
17,124.46238602393936,3.054117702934659e-15,0.20973174282893187,0.05766292788425964,14,0.016735268873898267,0.023019461830828883,0.07402652566430494,-0.01108773672324746,0.715
18,60.998917239583804,3.339596893236261e-08,0.30013759325565315,0.07954889389362674,14,0.01034445758482081,0.016147879867095694,0.04129825269900912,-0.0068108743283134396,0.78
19,5141.067534246366,0.0,0.23382785129957973,0.008889575794186583,14,0.015432139758668549,0.018653322227558732,0.04281256152157726,-0.0042360297070375905,0.655
20,4907.159079546419,0.0,0.5173939566269947,0.008251303730153179,10,0.007240190483912101,0.011851056763460195,0.021031837876046906,0.005272305988961263,0.89
21,3288.3924307680763,0.0,0.2286362519662697,0.01113771771421291,14,0.014289144864454872,0.01743396281198082,0.034824331429750624,-0.003935806331839754,0.665
22,104.58116328095988,4.786646795886549e-13,0.6661883417807565,0.05410159766265805,8,0.0059987045155781675,0.021058068443333876,0.010939934974215356,0.0003691392986146187,0.95
